,日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元),ric
1,2023-12-31,1.9583,1.72,1.72,1.71,23.5206,16.4995,1.7995,2.823,12.1514,--,3.5287,9.6942,3.8206,3.521,3.3127,90.041,3.046,508.4838,21.6186,9.1626,--,2.4447,-3.4562,296.8427,--,-20.1145,1690545209.77,10.41,10.92,462613463.57,30.0776,-26.5749,8.1102,18.0356,8.6459,41.6382,63.2511,5.6916,7.1402,1.2543,287.0127,1.8622,193.3197,2.8399,1.6205,1.1349,47.8343,690.4574,0.462,42.3828,12.0981,238.6861,135.9449,58.0151,22.2062,75.914,74.5755,128.1258,174.5674,17.7567,57.6172,15053205376.88,0.028,0.0324,0.9189,0.0563,7.6829,--,--,--,21589117.62,--,--,--,21389311.14,49626416.4,48606920.64,--,2262607.58,1201197.37,--,28638713.61,81919025.97,2585867.18,6417550.84,002768
2,2023-09-30,1.6072,1.3941,1.3941,--,23.1659,16.2506,1.5222,2.823,11.8279,--,3.0343,9.9703,3.2149,4.074,3.8382,89.7625,3.4414,160.7156,6.9376,3.0343,--,2.4392,-2.6503,264.6629,--,-5.9892,1262989740.06,8.58,8.93,373803223.49,22.3643,-25.576,10.197,19.5693,6.3356,42.6163,64.7187,4.1719,--,0.9342,289.0173,1.3991,192.9812,2.0792,1.6327,1.1233,44.4128,699.0102,0.4318,43.7373,11.2659,--,128.6379,59.3894,20.4823,--,74.687,120.0498,179.9996,--,56.2627,14367041085.91,0.0326,0.0287,0.9471,0.0511,6.9686,--,--,--,23327263.44,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002768
3,2023-06-30,1.088,0.92,0.92,0.89,22.5525,15.6871,1.6911,2.823,11.3576,--,2.1439,10.1965,2.2258,4.3819,4.0411,89.5069,3.7205,384.4837,17.0484,7.5763,--,2.5472,-0.6045,251.9679,--,-3.8853,808813960.64,5.89,5.99,240257744.28,29.3686,-29.1377,10.5694,21.5905,3.8519,46.7302,67.3073,2.6743,3.2449,0.5982,300.9027,0.9033,199.2693,1.32,1.5374,1.0529,36.2775,718.8756,0.4672,44.4399,10.8318,228.4839,125.0229,60.9314,19.5974,78.1677,75.7829,121.449,174.597,19.4499,55.5601,13765460470.19,0.0578,0.0333,1.5543,0.06,7.7244,--,--,--,24304531.32,--,--,2488414719.1,53334282.67,28829084.84,24140329.24,--,6981997.14,2532625.34,--,107946878.19,2918654.57,1053819.1,6148238.65,002768
4,2023-03-31,0.467,0.38,0.38,--,22.2263,15.3931,0.67,2.823,11.0648,--,0.9527,9.9746,0.9726,4.0863,3.7971,89.7203,3.5043,46.6989,2.1011,0.9527,--,2.7929,-0.6678,262.9846,--,-1.227,360549999.22,2.46,2.49,100860648.99,32.3301,-6.3103,13.2816,28.1281,2.0055,44.8766,74.7508,1.204,--,0.2775,324.3243,0.4177,215.4656,0.606,1.5836,1.0562,36.7387,570.8944,0.4445,45.3432,10.9303,--,120.54,59.1316,19.4235,--,73.3856,117.0273,177.1821,--,54.6568,13296091931.45,0.0503,0.0137,1.4348,0.025,3.2442,--,--,--,25881193.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002768
5,2022-12-31,2.6671,2.44,2.44,2.32,21.7561,15.0124,1.3243,2.823,10.6857,--,5.6727,12.8185,6.3846,6.4998,5.8049,86.8658,5.3962,504.592,23.1931,10.7323,--,2.7448,0.2807,219.304,--,-4.5754,1718500129.99,16.28,17.59,630612463.93,37.2768,10.9121,13.7789,28.7039,9.1482,39.352,68.2594,5.274,6.2543,1.1832,304.2596,1.8273,197.012,2.4182,1.6062,1.1429,38.5434,987.7018,0.4391,46.2738,10.9584,266.825,116.1048,59.1761,19.1472,77.4143,73.1899,112.6588,180.8201,17.3424,53.7262,12753111398.13,0.0268,0.0282,0.4965,0.0524,6.8412,--,--,--,22694547.96,--,--,1541932656.09,52148326.81,30717703.36,23443176.9,--,7167182.59,44156.72,--,98413503.93,3331390.98,1061967.88,5718858.05,002768
6,2022-09-30,2.1595,1.9707,1.9707,--,21.0223,14.5256,1.5207,2.8234,10.2014,--,4.8749,12.2162,5.3434,7.2506,6.5041,87.5369,5.6582,215.9459,10.2722,4.8749,--,2.4778,0.5111,186.663,--,-0.9499,1264665982.52,13.57,14.4,509804718.55,55.9334,19.1384,12.7722,33.2637,7.7506,34.836,66.2138,4.0777,--,0.9444,285.8958,1.4744,183.1253,1.9014,1.6114,1.1032,36.6728,1134.7248,0.4275,47.4571,10.5335,--,110.7164,60.4574,18.1642,--,73.8764,107.1137,184.6979,--,52.5429,12015658193.51,0.0398,0.0343,0.7042,0.0653,8.5186,--,--,--,23592783.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002768
7,2022-06-30,1.5354,1.4,1.4,1.34,20.3967,13.9514,1.1483,2.8234,9.628,--,3.6787,14.2673,3.9234,8.861,7.7826,85.4724,6.7923,357.4037,17.5226,8.5632,--,2.6757,0.4703,182.1236,--,-1.1629,874803154.98,10.02,10.37,364366495.77,47.7631,19.1145,58.9845,74.1029,4.3226,41.6416,71.7246,2.5096,2.9637,0.5776,311.6343,0.9045,199.005,1.144,1.7934,1.256,39.3241,1296.9785,0.4615,48.8695,13.197,268.2767,104.6265,56.9759,21.2626,78.8553,72.362,100.7543,190.8194,18.2161,51.1305,11321164433.13,0.0508,0.0275,0.7479,0.0538,7.6336,--,--,--,23874688.45,--,--,1469369991.05,36170530.63,7217977.11,21707208.5,--,15567394.2,1693584.63,--,7962671.83,18101062.73,36000,5240200.02,002768
8,2022-03-31,0.4984,0.44,0.44,--,19.6204,13.2509,0.2008,2.8237,8.9273,--,1.3029,11.4876,1.333,6.1896,5.6946,88.2942,4.9496,49.8443,2.5404,1.3029,--,3.0679,-0.8474,202.6583,--,-0.7628,313792055.92,3.29,3.35,118785231.05,80.026,24.8342,60.171,82.701,2.1076,42.7026,75.478,1.1924,--,0.2693,334.1998,0.4255,211.5159,0.5199,1.7603,1.2105,35.3206,816.8137,0.3893,51.2859,10.6931,--,94.9855,58.7292,17.2528,--,70.9743,91.2972,199.0449,--,48.7141,10377183440.07,0.0199,0.0052,0.4029,0.0108,1.4528,--,--,--,28763340.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002768
0,2024-03-31,-0.0324,-0.03,-0.03,--,1.3284,0.9364,0.0223,0.116,-0.2273,--,-0.9143,18.3238,-0.8942,-4.0611,-3.696,81.3633,-4.0628,-3.2424,-2.4409,-0.9143,--,18.6364,11.4271,-449.8006,-0.1503,--,62611367.4,-3.03,-3.07,-11162003.28,-35.6902,--,-13.2313,-11.2819,3.4842,25.8309,114.8399,0.7837,--,0.2201,408.905,0.4968,181.1594,0.603,0.876,0.3887,13.1139,-59.9738,-1.6932,37.4591,10.1782,--,166.9577,120.7724,21.3661,--,153.5882,156.5888,154.4575,--,62.5409,1518273697.61,0.028,0.0063,--,0.0101,1.2988,--,--,--,21128195.19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,603335
1,2023-12-31,-0.4556,-0.35,-0.35,-0.35,1.3185,0.9385,-0.1512,0.0902,-0.1989,--,-12.2933,4.2687,-12.0719,-13.4958,-14.8263,95.4523,-11.5564,6.4968,4.9274,1.7529,--,14.2758,1.7369,-28.7522,-0.0104,--,72053404.94,-37.03,-31.51,-149379986.08,0.6284,--,-13.5297,-3.5382,16.9558,21.2317,100.0778,3.5972,4.4578,1.0446,344.6295,2.011,179.0154,2.7732,0.88,0.4575,12.4693,-542.2824,-1.1658,35.5759,7.3223,124.8031,181.0893,125.7659,17.069,66.9903,151.6513,167.6755,155.2722,28.5056,64.4241,1586782123.17,-0.0384,-0.0408,--,-0.0633,-7.7975,--,--,--,21176601.26,--,--,85670185.1,1871542.38,763509.46,--,--,667194.5,--,--,--,3708927.06,618024.54,--,603335
