,日期,摊薄每股收益(元),加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),每股净资产_调整前(元),每股净资产_调整后(元),每股经营性现金流(元),每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),净资产收益率(%),加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),流动比率,速动比率,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),资产负债率(%),总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元),ric
4,2023-03-31,-0.1045,-0.1,-0.1,--,0.3846,0.3878,0.0816,1.1927,-1.9177,--,-1.358,11.1122,-1.3242,-8.3542,-8.5319,88.0271,-8.5796,-10.4463,-27.164,-1.358,--,13.7011,1.0659,-129.6574,-0.0663,-3.6143,67055780.35,-26.1,-23.21,-55284087.53,-3.8384,--,-56.8553,-9.7593,1.1916,75.5287,186.6058,0.4823,--,0.1543,583.2793,0.2931,307.0624,2.7958,0.6414,0.2948,5.1672,-109.6576,-0.3234,4.9993,9.3916,--,1900.2858,333.9602,65.2609,--,961.3371,1807.7533,106.3771,--,95.0007,3812425853.1,0.067,0.0106,--,0.0112,1.3102,--,--,--,7963094.98,0,--,--,--,--,--,--,--,--,--,--,--,--,--,002786
5,2022-12-31,-0.5452,-0.52,-0.52,-0.5,0.4864,0.4868,0.1053,1.1927,-1.8165,--,-6.7442,8.9835,-6.5084,-10.063,-10.1701,90.2449,-10.4055,114.533,235.4616,14.1667,--,11.9491,4.1646,-86.7009,-0.0127,-36.1166,233301435.87,-106.84,-69.41,-248879712.62,-2.8812,--,-52.919,-6.7562,4.6533,77.3645,185.7298,1.9383,2.5076,0.6255,575.5396,1.1159,322.6096,6.8967,0.6661,0.3132,5.3487,-241.7689,-0.3384,6.0166,9.0521,23.99,1562.082,309.5703,60.0723,54.532,775.3274,1481.7607,107.9794,25.0794,93.9834,4006867328.97,0.0201,0.013,--,0.0139,1.6262,--,--,--,8266658.84,--,--,--,99522732.36,60340506.97,28524961.06,--,2188620.56,1102190.73,--,--,12296204.89,11287451.65,5288896.23,002786
6,2022-09-30,-0.2357,-0.2377,-0.2377,--,0.8319,0.8066,0.0333,1.2278,-1.5342,--,-2.7933,11.1177,-2.7552,-5.9204,-5.8362,88.1161,-6.0771,-23.5676,-28.3315,-2.7933,--,11.8898,-13.2927,-186.3474,-0.0294,56.6023,213687830.38,-29.46,-26.69,-108729316.41,4.4388,--,-50.6568,-6.6755,3.4738,77.7247,202.7788,1.3315,--,0.4534,595.5007,0.7919,340.9521,4.1588,0.7296,0.3369,8.0657,-81.1973,-0.4201,9.8594,8.704,--,914.2633,237.5531,46.8881,--,447.269,865.4136,112.9319,--,90.1406,4181559588.38,0.0086,0.004,--,0.0044,0.5156,--,--,--,26806408.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002786
7,2022-06-30,-0.1363,-0.14,-0.14,-0.13,0.8921,0.8678,0.0223,1.1818,-1.4303,--,-1.5939,10.6775,-1.5832,-5.0602,-5.0142,88.5673,-5.2163,146.7932,164.5538,17.1599,--,11.4369,-24.918,-209.4209,-0.0508,73.42,138325314,-15.9,-14.67,-63685891.43,7.8874,--,-53.3723,-12.4992,2.312,77.8547,200.6689,0.897,1.2541,0.3035,593.0807,0.5236,343.7739,2.7154,0.7524,0.3586,9.3128,-41.6583,-0.4425,10.4281,8.3534,44.2297,858.9445,227.077,44.4768,55.6972,408.9766,811.1032,113.9628,23.5772,89.5719,4239679904.73,0.0085,0.0026,--,0.0029,0.3425,--,--,--,6935084.44,--,--,--,34722663.44,57263271.52,19614188.64,--,9362969.12,4369727.68,--,--,6132193.18,10507885.93,7296453.1,002786
8,2022-03-31,-0.1427,-0.14,-0.14,--,0.8913,0.8668,0.1422,1.1818,-1.4401,--,-1.6737,8.6452,-1.6595,-10.6909,-11.0443,90.4768,-11.268,-14.2671,-16.0065,-1.6737,--,13.0486,1.9172,-77.4545,-0.0485,-2.3992,54251270.88,-16.56,-15.31,-64269079.88,5.3541,--,-57.1376,-14.8125,1.2261,73.4035,200.6242,0.4486,--,0.1473,610.998,0.2517,357.5685,1.3158,0.7666,0.38,14.9326,-105.9418,-0.4919,10.4564,8.7575,--,856.3512,216.1329,45.5791,--,397.1503,813.2161,113.2894,--,89.5436,4224729430.2,0.1123,0.0167,--,0.0186,2.1873,--,--,--,7309795.93,0,--,--,--,--,--,--,--,--,--,--,--,--,--,002786
0,2024-03-31,0.0383,0.0421,0.0421,--,5.0539,4.9408,0.0763,2.6792,1.2273,--,0.5688,32.4744,0.5651,7.7243,6.6881,67.3639,7.5593,3.8262,0.7571,0.5688,--,19.2197,-9.6107,484.6598,--,--,81864488.7,0.84,0.84,21463156.38,5.9401,-26.752,1.3766,3.5267,0.5866,153.4265,174.5201,0.5157,--,0.0748,1203.2086,0.1769,508.762,0.1,3.188,2.4525,62.1123,553.5924,0.043,75.1279,1.2204,--,33.1064,76.8424,1.5985,--,78.0907,18.8815,607.7623,--,24.8721,3350344382.87,0.1507,0.0113,1.9938,0.0456,8.7471,--,--,--,211373163.56,--,--,--,--,--,--,--,--,--,--,--,--,--,--,300825
1,2023-12-31,0.0577,0.0731,0.0731,0.0165,5.0693,4.9188,0.0997,2.6914,1.1857,--,0.8468,33.3983,0.8541,6.7596,5.9045,66.2197,3.3496,36.1826,7.1376,5.3097,--,21.958,-6.8305,557.911,--,--,286542454.11,1.47,1.5,8131906.46,-9.416,-56.2165,0.3165,1.7529,2.3278,154.6525,251.1511,1.4334,3.4584,0.255,1411.7647,0.5013,718.1329,0.3404,2.919,2.2434,86.3176,494.9192,0.0012,74.3898,0.033,1002.0522,34.427,76.3666,0.0444,62.4545,76.4006,19.9231,580.002,7.4237,25.6102,3393892930.83,0.0579,0.0146,1.7284,0.0571,9.8969,--,--,--,215493721.79,--,--,297363525.73,129784094.75,12069977.33,76449804.37,--,34043.59,1042692.8,--,10762190.15,1560138.13,4687426.95,21893583,300825
2,2023-09-30,0.06,0.0677,0.0686,--,4.9622,4.8036,-0.0442,2.6616,1.1898,--,0.9099,34.7325,0.902,6.5049,5.6428,64.9276,4.9421,5.9959,1.2083,0.9099,--,22.6085,-12.1967,607.6071,--,--,209612024.72,1.39,1.38,29146792.24,-10.9882,-61.3925,-4.7185,-2.3395,1.768,152.7149,307.6222,0.8777,--,0.1825,1479.4521,0.3477,776.5315,0.2421,3.4127,2.4224,101.01,452.0595,0.0012,75.3006,0.0381,--,32.8011,71.4469,0.0506,--,71.4831,18.0183,653.3417,--,24.6994,3278034347.82,-0.0365,-0.0067,-0.7379,-0.0272,-4.9627,--,--,--,200251153.26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,300825
3,2023-06-30,0.1288,0.135,0.1365,0.1323,5.0077,4.8466,-0.0571,2.6372,1.2562,--,1.9446,37.0713,1.9324,19.1552,15.2612,62.6757,12.9011,40.7248,8.1324,6.1498,--,17.241,-2.2536,241.4028,--,--,184061934.9,2.74,2.72,64056502.2,-2.7294,-3.0533,-4.9757,-0.7129,1.3814,130.3026,257.6951,0.6985,1.8754,0.1498,1201.6021,0.2755,653.3575,0.1983,3.7788,2.7751,99.6108,1483.2699,0.0012,75.6215,0.0446,873.1006,32.2375,66.099,0.0589,67.3161,66.138,17.551,704.3647,8.6613,24.3785,3294054685.8,-0.0572,-0.0086,-0.4432,-0.0353,-6.5147,--,--,--,205413914.5,--,--,313129934.21,80591068.58,23154961.26,53923447.65,--,1047842.92,--,--,5908367.65,4460178.69,4988307.84,18521473.96,300825
4,2023-03-31,0.0519,0.0542,0.0542,--,4.9517,4.7727,-0.0999,2.7064,1.1664,--,0.8039,36.3625,0.7918,15.5282,12.824,63.3376,10.9332,5.1885,1.0478,0.8039,--,19.8223,3.6219,280.5794,--,--,86526385.86,1.11,1.08,26137782.94,12.4953,37.8154,-10.1858,-5.6392,0.7244,124.2408,280.4612,0.3209,--,0.0724,1243.0939,0.1253,718.2761,0.0952,4.9694,3.6577,123.3681,1100.939,0.0012,76.7213,0.0524,--,30.3419,56.2143,0.0683,--,56.2528,14.9776,811.7581,--,23.2787,3236211337.25,-0.2106,-0.0155,-1.9259,-0.0665,-13.5354,--,--,--,133111009.36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,300825
5,2022-12-31,0.1309,0.1641,0.1643,0.1799,5.0193,4.8394,0.0952,2.6808,1.1092,--,1.9679,31.2251,1.9443,11.0262,9.3155,68.462,6.93,37.8274,7.5364,5.6866,--,16.1679,30.4985,333.39,--,--,295744340.38,3.33,3.28,88571814.66,-25.5558,-66.8154,-8.1234,-2.3626,3.5394,101.7122,215.9827,1.6668,4.3853,0.2806,1282.9651,0.4542,792.6024,0.3604,4.4897,3.4493,163.7921,894.3842,0.0012,75.455,0.057,1030.6205,32.5294,54.7013,0.0755,66.3158,54.7426,17.401,710.5119,7.3213,24.545,3335426285.55,0.0504,0.0143,0.7271,0.0583,10.9444,--,--,--,134405863.18,--,--,265573212.01,45271642.91,24957856.72,52998059.58,--,95347.69,--,--,6540937.12,4217021.59,5465652.97,17279906,300825
6,2022-09-30,0.1541,0.1907,0.1908,--,5.1666,4.8267,-0.0713,2.9234,1.1569,--,2.3016,37.693,2.2813,17.7621,13.9045,62.121,11.3943,15.4071,2.9821,2.3016,--,15.9563,16.6348,271.1483,--,--,255559963.51,3.89,3.76,113472165.88,-19.9512,-42.9502,39.1781,8.2064,2.3913,112.9093,239.0438,1.1295,--,0.2002,1348.6513,0.3233,835.1376,0.2544,5.284,4.16,141.7785,1162.1004,0.0016,77.1808,0.0762,--,29.566,53.0436,0.0986,--,53.096,14.5707,834.8903,--,22.8192,3356559533.91,-0.0528,-0.0107,-0.463,-0.0467,-9.5405,--,--,--,63772058.5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,300825
7,2022-06-30,0.1328,0.1551,0.1554,0.1719,5.2679,4.9135,-0.1679,2.8872,1.1315,--,1.9915,36.8496,1.9624,20.6718,15.8809,62.9203,12.9442,36.0811,6.8493,5.4119,--,13.7086,13.8085,231.9321,--,--,188095054.88,3.16,3.03,85370361.06,-16.5992,-33.6416,44.4483,42.1339,1.727,104.227,184.1432,0.9775,2.6093,0.1516,1187.3351,0.2372,758.8533,0.1904,7.0475,5.9257,158.6771,1684.8596,0.0012,79.0139,0.0642,1288.267,26.5601,46.7792,0.0811,64.1984,46.8172,11.3963,1040.7403,6.1333,20.9861,3317707779.07,-0.1637,-0.0252,-1.2645,-0.12,-28.1679,--,--,--,59185287.64,--,--,347662236.24,25925774.13,28072851,35939327.65,--,1189600.36,494717,--,7226804.35,7458499.57,1224480.43,17313306,300825
8,2022-03-31,0.0569,0.0782,0.0783,--,8.3328,7.684,-0.2984,4.9291,1.5426,--,0.5504,39.2245,0.5515,12.8348,9.9822,60.4911,8.9245,5.6902,0.6829,0.5504,--,15.2164,19.5488,402.1613,--,--,82969366.09,1.02,1.03,25600208.29,4.9194,-49.4271,58.2444,55.2734,0.8113,110.9331,240.8349,0.3737,--,0.0618,1456.3107,0.0958,939.4572,0.0769,8.308,6.9487,244.8894,2764.4695,0.0006,80.6051,0.0351,--,24.0616,44.354,0.0435,--,44.3733,9.6352,1207.4705,--,19.3949,3429612807.18,-0.4681,-0.0289,-5.2449,-0.1488,-37.34,--,--,--,58964218.14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,300825
0,2024-03-31,0.0949,0.09,0.09,--,3.5343,3.3925,0.1171,1.9153,0.5831,--,1.8709,62.8205,1.8823,27.4587,19.3426,36.9367,16.5972,9.4908,2.6854,1.8709,--,33.266,-0.6131,324.7647,0.2008,--,2677164802.83,2.58,2.56,647457303.48,40.9898,59.9859,2.576,10.7697,1.5804,56.9476,41.7111,2.1577,--,0.1134,793.6508,0.4957,181.5614,0.1629,1.0145,0.9236,43.0455,9792.2786,4.3587,69.6707,1.4532,--,43.5324,107.8336,2.0432,--,110.0828,35.0569,382.8552,--,30.3293,37805683190.3,0.2047,0.0231,1.2334,0.0761,10.0457,--,--,--,2310955294.76,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002602
1,2023-12-31,0.0789,0.07,0.07,0.06,3.4873,3.3409,0.4163,1.9144,0.4945,--,1.574,60.1697,1.6639,9.4383,7.485,39.491,4.4249,26.2439,7.5256,5.2369,--,37.1446,6.3221,828.199,0.2416,--,7993271758.43,2.1,1.66,421122411.28,15.7683,--,2.5261,12.1145,5.337,67.4536,44.4746,8.0945,8.1468,0.376,957.4468,1.6583,217.0898,0.5175,1.3551,1.2469,56.903,390.2087,1.3089,69.5873,7.6985,1388.1793,43.7043,100.3474,9.9611,57.7798,111.4489,34.8663,383.5801,5.0128,30.4127,37347274896.66,0.2335,0.0831,5.2776,0.2731,50.1496,--,--,--,2394312440.19,--,--,--,228947922.38,165220778,138609339.94,--,9623070.03,3985447.83,--,--,161444826.47,79147150.9,384538650.09,002602
2,2023-09-30,0.2003,0.19,0.19,--,3.5809,3.4064,0.3349,1.9237,0.6063,--,4.2013,60.4982,4.3362,25.8133,18.6895,39.1709,15.2481,20.0252,5.5923,4.2013,--,33.3316,5.6896,321.7873,0.0951,--,5921192925.69,5.63,5.77,1204068279.68,7.0624,107.9646,-20.2683,-14.0984,4.0272,67.0441,44.7479,6.0338,--,0.2844,949.3671,1.1869,227.4834,0.3762,1.7203,1.5951,57.2221,1015.1027,0.7759,75.1267,8.0976,--,33.1084,90.2087,9.7298,--,99.9319,30.0641,439.9002,--,24.8733,35522012368.56,0.255,0.0703,1.6724,0.2825,48.494,--,--,--,2489739339.1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002602
3,2023-06-30,0.1202,0.12,0.12,0.1,3.57,3.3963,0.2248,1.9237,0.5327,--,2.5725,58.0969,2.63,24.3549,17.691,41.5715,14.8128,29.2609,8.1962,6.2603,--,30.9049,6.3984,327.6333,0.1585,--,3514616874.9,3.43,3.51,737108184.24,-6.2162,74.5673,-18.9683,-13.9538,2.794,64.4238,45.3469,3.9694,4.2178,0.1775,1014.0845,0.7876,228.5424,0.2329,1.6878,1.5478,70.7621,910.422,0.9154,76.3797,8.2699,1798.3974,30.9249,91.9461,9.7695,53.5249,101.9013,28.0234,463.9505,4.2471,23.6203,34833815321.73,0.2769,0.0481,1.8694,0.2036,36.6145,--,--,--,2580842630.99,--,--,--,250399220.94,102893826.49,90939722.06,--,20710639.69,2732201.3,--,--,310178696.65,103798189.6,420311180.03,002602
4,2023-03-31,0.0593,0.06,0.06,--,3.4455,3.2775,0.0765,1.9231,0.4744,--,1.2954,56.8113,1.3111,23.86,17.5864,42.8926,14.6265,5.9323,1.7217,1.2954,--,30.4021,12.2092,323.5492,0.3212,--,1717199270.82,1.77,1.79,337807442.65,-14.1369,95.5865,-20.3774,-16.1545,1.2559,71.6618,43.5856,2.0649,--,0.0896,1004.4643,0.3842,234.253,0.1185,1.6771,1.5468,51.3278,843.0192,0.8814,75.2359,8.4428,--,32.9153,91.1517,10.0896,--,101.3805,30.0254,439.3561,--,24.7641,34129978543.64,0.1887,0.0167,1.2898,0.0675,11.81,--,--,--,2404445098.72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002602
5,2022-12-31,-0.9506,-0.96,-0.96,-0.91,3.4013,3.2372,0.2,1.9231,0.4162,--,-21.2665,51.1392,-19.1584,-74.3158,-60.4816,48.4848,-61.7355,-78.9431,-23.2095,-17.6613,--,32.8627,1.9365,-84.2026,-0.02,--,5868282953.48,-29.4,-25.71,-6680604995.85,-17.6171,-379.54,-21.1645,-18.0373,4.2156,85.3971,39.1607,9.1929,8.0053,0.3103,1160.1676,1.3337,269.9258,0.3991,1.6076,1.4757,46.3092,-1706.2917,0.0034,76.0952,0.0296,1824.7631,31.4143,101.2381,0.0389,53.633,101.2775,18.7854,693.9063,4.1701,23.9048,33311727588.17,0.1299,0.0448,--,0.1872,31.373,--,--,--,2366132162.74,--,--,--,589192055.53,63942572.13,83866682.82,--,13277780.82,2647034.98,--,--,357796191.59,316994986.29,86847528.81,002602
6,2022-09-30,0.0963,0.09,0.09,--,4.4911,4.321,0.1959,1.7085,1.4604,--,1.7354,52.947,1.7504,12.1586,9.6754,46.6752,7.8499,9.6291,2.144,1.7354,--,30.4343,-0.483,561.9889,0.1979,--,4840284139.13,2.14,2.18,597469537.36,-15.2441,-75.342,3.8455,2.7259,3.2042,84.2644,38.0308,7.0995,--,0.223,1210.7623,1.0231,263.9038,0.2786,1.1998,1.1105,35.7847,522.2197,0.1491,80.9403,0.4988,--,23.5479,98.1355,0.6125,--,98.7403,21.2918,576.0574,--,19.0597,41351963301.4,0.1597,0.0353,2.0339,0.1852,21.0917,--,--,--,3123288243.35,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002602
7,2022-06-30,0.0689,0.07,0.07,0.06,4.4057,4.2375,0.1616,1.9214,1.433,--,1.268,52.5741,1.2655,11.7792,9.5814,47.0599,7.958,21.9785,4.9886,4.0461,--,30.8513,1.4989,570.1928,0.2766,--,3391326065,1.54,1.54,431642267.44,-11.7513,-80.0352,3.0898,1.377,2.3717,75.8949,35.5534,5.0628,4.4065,0.159,1132.0755,0.7471,240.9316,0.1985,1.1162,1.0269,33.6507,529.5161,0.0154,81.1064,0.0305,2264.4271,23.2949,99.8085,0.0376,56.3187,99.846,21.0459,581.2916,3.5818,18.8936,40482667808.82,0.1867,0.0297,2.3456,0.1574,17.4556,--,--,--,3132769677.61,--,--,--,135974659.78,13716628.27,85159402.7,--,24018907.76,8898367.52,--,--,151983260.76,239050293.41,87045934.43,002602
8,2022-03-31,0.0303,0.03,0.03,--,4.3273,4.1914,0.0296,1.9694,1.3956,--,0.5553,50.8125,0.5557,8.8212,7.4039,48.8356,6.4211,3.0331,0.7009,0.5553,--,32.5056,1.2645,705.1132,0.6282,--,1788751384.09,0.67,0.67,205616242.63,-11.9217,-64.363,5.2168,-7.9957,1.1072,81.2861,30.9789,2.9052,--,0.0865,1040.4624,0.3768,238.8535,0.1093,1.1824,1.1046,31.9989,448.5664,0.0096,79.2262,0.0333,--,26.2209,97.9168,0.0421,--,97.958,23.9448,522.8714,--,20.7738,40705801885.78,0.0628,0.0054,0.9775,0.0261,2.8663,--,--,--,3835955651.47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002602
0,2024-03-31,0.0116,0.012,0.012,--,1.7583,1.72,0.0264,0.418,0.2765,--,0.2988,12.4438,0.2966,2.7189,2.3431,87.1122,2.2908,1.161,0.6603,0.2988,--,7.6523,44.6176,480.7038,--,--,204551123.28,0.7,0.91,32149884.58,17.3827,2.4543,0.6151,3.6461,0.7311,123.1022,132.9591,0.6769,--,0.1295,694.9807,0.2148,418.9944,0.2891,1.178,0.8515,27.9632,2034.5827,0.0834,45.2503,0.7533,--,120.9929,87.3555,1.6375,--,88.8098,113.8784,186.7076,--,54.7497,12602313012.03,0.052,0.0068,2.2702,0.0124,1.3359,--,--,--,425591209.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002239
1,2023-12-31,0.0261,0.02,0.02,0.015,1.7486,1.7099,0.0193,0.418,0.2644,--,0.6631,13.2145,0.6801,1.7345,1.6792,86.205,1.2377,54.9201,31.4079,13.9285,--,8.2867,46.5668,801.3455,--,--,905459505.26,1.32,1.32,48670635.61,9.9808,-25.8166,0.5733,5.2547,3.2614,110.382,124.9653,2.8808,4.7553,0.5495,655.141,0.9068,397.0004,1.2117,1.1548,0.8363,30.0958,321.8769,0.0681,44.3471,0.5547,372.2041,125.4939,87.4458,1.2354,47.3181,88.5396,119.8455,180.8857,11.9147,55.6529,12788190924.89,0.0091,0.0049,0.737,0.0088,0.9293,--,--,--,412227267.62,--,--,--,29885099.45,9837570.97,124027703.38,--,221383.68,310741.08,--,--,5898062.02,701410.73,4688154.75,002239
2,2023-09-30,0.0219,0.0195,0.0195,--,1.7624,1.7249,0.0483,0.418,0.2617,--,0.5658,12.839,0.5755,2.5119,2.4172,86.7193,1.4302,2.1934,1.2445,0.5658,--,8.2403,31.482,535.766,--,--,638583263.95,1.13,1.14,39343598.94,9.5303,148.9499,4.1267,13.6423,2.695,100.1855,133.5972,2.021,--,0.4024,670.9742,0.6662,405.2837,0.8761,1.1818,0.822,31.2534,524.567,0.0717,45.4612,0.665,--,119.9676,85.9821,1.4417,--,87.2399,113.7767,185.3503,--,54.5388,12573227624.82,0.0315,0.0125,2.2006,0.0228,2.4385,--,--,--,394315140.83,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002239
3,2023-06-30,0.0152,0.0131,0.0131,0.0088,1.7584,1.7213,0.0661,0.418,0.2554,--,0.4019,13.1947,0.4035,2.43,2.3022,86.2989,1.6139,51.9565,29.5484,13.7633,--,8.2171,22.8143,571.4419,--,--,402312519.37,0.76,0.77,28639095.64,6.6429,--,4.1118,14.2923,1.7015,105.789,142.0791,1.2669,2.1968,0.25,720,0.4154,433.3173,0.5377,1.218,0.8533,31.7642,3670.2113,0.1284,46.5789,1.3763,402.2521,114.6895,83.6359,2.8699,46.4279,86.1071,108.5248,189.5403,11.5795,53.4211,12243292675.47,0.0703,0.0175,4.3556,0.0328,3.5601,--,--,--,384829955.22,--,--,--,19665135.22,11810192.69,128955655.23,--,1385426.21,659003.49,--,--,3692404.32,--,5019088.31,002239
4,2023-03-31,0.0113,0.011,0.011,--,1.7475,1.7117,0.0274,0.42,0.253,--,0.3023,14.3978,0.3024,3.6089,3.4296,85.0456,2.6246,1.1332,0.6485,0.3023,--,9.1415,16.0887,421.081,--,--,201622728.92,0.63,0.63,26226050.72,2.9463,--,9.0381,16.1857,0.7935,113.4216,152.207,0.5913,--,0.1152,781.25,0.1911,470.9576,0.2477,1.2251,0.8783,28.3934,504.4966,0.1326,46.6135,1.4656,--,114.5302,82.9213,3.0483,--,85.5285,108.4405,188.5106,--,53.3865,12158986566.78,0.0633,0.0073,2.4135,0.0137,1.4864,--,--,--,369273431.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002239
5,2022-12-31,0.0352,0.03,0.03,0.02,1.7386,1.7035,0.1106,0.42,0.2422,--,0.9409,14.7268,1.0265,2.8035,2.5873,84.8084,1.8349,51.6008,29.6788,13.7743,--,8.5391,24.0057,559.9532,--,--,917506704.75,1.61,1.65,71607019.78,21.271,--,7.2383,20.0182,3.7875,95.0495,122.1374,2.9475,4.7007,0.5594,643.5467,0.9669,372.3239,1.1435,1.1999,0.88,26.636,657.89,0.0496,46.4113,0.4993,415.1884,115.4646,84.2813,1.0645,46.5537,85.1881,109.6461,187.5312,11.1784,53.5887,12149760281.58,0.0576,0.0295,3.1392,0.0551,5.8618,--,--,--,362091678.48,--,--,--,19232767.19,15857199.69,117191483.22,--,2832186.04,503834.9,--,--,2295861.72,445628.17,4523458.13,002239
6,2022-09-30,0.0088,0.0046,0.0046,--,1.6926,1.6614,0.0559,0.421,0.2195,--,0.2583,12.6346,0.2697,1.4127,1.2927,87.0345,0.6293,0.881,0.5205,0.2583,--,7.9093,34.6641,938.7166,--,--,573736328.16,0.28,0.28,7342381.25,19.8441,-5.7191,1.1452,10.1486,3.1898,84.6448,113.8472,2.3716,--,0.4287,629.8111,0.7621,354.2842,0.845,1.2211,0.8943,33.5175,526.7507,0.0301,49.6157,0.3136,--,101.5491,84.8717,0.6281,--,85.4081,95.7455,202.3535,--,50.3843,11063865276.77,0.0399,0.0164,6.3474,0.0325,3.4738,--,--,--,348237978.21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002239
7,2022-06-30,-0.0057,-0.0082,-0.0082,-0.0098,1.6889,1.6598,0.04,0.4209,0.2068,--,-0.1718,12.5126,-0.1766,0.2842,0.1841,87.2623,-0.6436,45.2973,26.8205,13.7143,--,8.8503,189.6927,4569.336,--,--,357750922.04,-0.49,-0.5,-31736044.49,14.0011,-140.486,0.9372,11.5161,1.9064,94.4188,117.9709,1.5258,2.2012,0.2744,655.9767,0.4914,366.3004,0.5326,1.2456,0.9097,30.2538,181.3419,0.0187,51.1336,0.2102,419.6699,95.5662,83.9366,0.4094,46.7361,84.2817,89.7539,210.0025,12.1842,48.8664,10712262192.67,0.0454,0.0121,--,0.0248,2.653,--,--,--,364055696.63,--,--,--,18443563.19,14184649.15,112002686.13,--,1119986.44,37239.25,--,--,902546.6,12723799.51,34121940.01,002239
8,2022-03-31,-0.0185,-0.02,-0.02,--,1.6027,1.5972,0.0797,0.3774,0.1949,--,-0.5723,9.3306,-0.5818,-3.6766,-3.6705,90.3512,-4.4028,-1.8466,-1.1522,-0.5723,--,9.5772,-13.4456,-253.1556,--,--,126923476.43,-1.25,-1.24,-63029752.3,24.1076,-380.8847,-4.0093,12.5961,0.9822,91.631,121.2448,0.7423,--,0.1321,681.302,0.239,376.569,0.2602,1.1711,0.8334,27.7232,-257.4587,0.015,49.6691,0.1225,--,101.3326,88.7069,0.246,--,88.9257,96.2331,200.7494,--,50.3309,10465135065.52,0.1901,0.0247,--,0.0491,5.1829,--,--,--,359544857.7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,002239
0,2024-03-31,0.2915,0.3,0.3,--,13.3366,13.0958,-0.4576,5.3194,6.4974,--,1.6457,10.4797,1.6757,6.1709,5.7217,88.9622,5.0459,29.1521,2.1859,1.6457,--,0.7464,-2.547,188.1352,--,--,753008848.01,2.22,2.92,267230171.82,17.9225,2.3291,29.2529,19.6109,3.93,22.9008,61.4125,1.4655,--,0.3321,271.0027,0.5307,169.5873,0.4418,2.7189,1.8187,34.8329,-1413.6669,--,75.29,--,--,32.8197,--,--,--,49.3571,30.6975,--,--,24.71,22030516741.31,-0.0792,-0.0258,-1.5695,-0.1045,-11.1763,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,601677
1,2023-12-31,1.1316,1.31,1.31,1.02,13.3699,13.1192,0.5583,5.3462,6.4729,--,6.3523,8.8468,6.7139,5.9856,5.5225,90.5449,5.1032,403.1223,30.1515,22.63,--,1.0259,1.3676,160.3414,--,--,2339297945.04,8.61,10.54,1049689346.37,-4.8196,-17.839,26.163,12.0715,25.4291,14.157,60.1946,5.9806,5.2092,1.3156,273.6394,2.1177,169.9958,1.8504,2.6791,1.8411,63.8335,-2570.0712,--,75.0543,--,310.5627,33.2368,--,--,59.7534,50.2206,30.9866,--,24.1672,24.9457,21242607586.12,0.0252,0.0313,0.4934,0.1256,13.4769,--,--,--,--,--,--,--,34915434.54,7228533.79,22790664.04,--,3993315.39,--,--,--,491409.2,1195466.58,2905740.63,601677
